Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,,,,,,
"Table 1.  Enrollment Status of the Population 3 Years Old and Over, by Sex, Age, Race, Hispanic Origin, Foreign Born, and Foreign-Born Parentage:  October 2012",,,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population),,,,,,,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,,,,,,
All Races,Population,Enrolled in school,,,,,,,,,,Not enrolled in school,,,,,
,,Total,,Nursery or kindergarten,,Elementary,,High school,,College undergraduate or graduate,,Total,,High school graduate,,Not high school graduate,
.25 to 29 years old,"10,235","1,222",11.9,-,-,13,0.1,15,0.1,"1,194",11.7,"9,013",88.1,"7,918",77.4,"1,095",10.7
.30 to 34 years old,"10,050",581,5.8,-,-,2,-,3,-,576,5.7,"9,470",94.2,"8,263",82.2,"1,207",12.0
.35 to 44 years old,"19,410",580,3.0,-,-,8,-,34,0.2,537,2.8,"18,830",97.0,"16,612",85.6,"2,218",11.4
.45 to 54 years old,"21,271",340,1.6,-,-,6,-,20,0.1,314,1.5,"20,931",98.4,"18,460",86.8,"2,471",11.6
.55 years old and over,"37,187",123,0.3,-,-,-,-,3,-,120,0.3,"37,064",99.7,"32,009",86.1,"5,055",13.6
FEMALE,,,,,,,,,,,,,,,,,
.Total,"152,326","39,921",26.2,"4,311",2.8,"15,828",10.4,"8,454",5.5,"11,327",7.4,"112,405",73.8,"96,537",63.4,"15,868",10.4
.3 and 4 years old,"3,927","2,135",54.4,"2,135",54.4,-,-,-,-,-,-,"1,791",45.6,-,-,"1,791",45.6
.5 and 6 years old,"4,077","3,802",93.3,"2,156",52.9,"1,646",40.4,-,-,-,-,275,6.7,-,-,275,6.7
.7 to 9 years old,"5,942","5,844",98.4,20,0.3,"5,824",98.0,-,-,-,-,98,1.6,-,-,98,1.6
.10 to 13 years old,"8,079","7,905",97.8,-,-,"7,777",96.3,128,1.6,-,-,174,2.2,-,-,174,2.2
.14 and 15 years old,"4,029","3,955",98.2,-,-,508,12.6,"3,426",85.0,21,0.5,74,1.8,11,0.3,64,1.6
.16 and 17 years old,"4,118","3,949",95.9,-,-,15,0.4,"3,816",92.7,118,2.9,169,4.1,53,1.3,116,2.8
.18 and 19 years old,"4,174","3,019",72.3,-,-,19,0.5,788,18.9,"2,212",53.0,"1,156",27.7,911,21.8,245,5.9
.20 and 21 years old,"4,520","2,636",58.3,-,-,-,-,123,2.7,"2,513",55.6,"1,884",41.7,"1,627",36.0,257,5.7
.22 to 24 years old,"6,431","2,065",32.1,-,-,8,0.1,56,0.9,"2,001",31.1,"4,366",67.9,"3,850",59.9,516,8.0
.25 to 29 years old,"10,439","1,666",16.0,-,-,8,0.1,35,0.3,"1,623",15.5,"8,773",84.0,"7,874",75.4,899,8.6
.30 to 34 years old,"10,386",951,9.2,-,-,-,-,11,0.1,940,9.1,"9,435",90.8,"8,436",81.2,999,9.6
.35 to 44 years old,"20,219","1,062",5.3,-,-,16,0.1,30,0.1,"1,015",5.0,"19,157",94.7,"17,237",85.3,"1,920",9.5
.45 to 54 years old,"22,288",668,3.0,-,-,-,-,26,0.1,642,2.9,"21,620",97.0,"19,462",87.3,"2,158",9.7
.55 years old and over,"43,698",265,0.6,-,-,7,-,16,-,242,0.6,"43,433",99.4,"37,078",84.9,"6,355",14.5
Footnote:,,,,,,,,,,,,,,,,,
- Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, October 2012.",,,,,,,,,,,,,,,,,
Internet Release date: XX,,,,,,,,,,,,,,,,,
