ids,p0,p1,p2,p3,p4,faps,npoints,scores
10215434,0.35570713,0.5529253,1.23683873,0.55210308,0.26218914,0.0,147,[ 0.79973737  0.77991043  0.69847837  0.68807112  0.67938323]
10223525,0.48925955,0.32822943,0.96041693,0.24711478,0.95796226,0.0,228,[ 0.71797421  0.69625506  0.62630107  0.6084971   0.57202135]
10232710,0.38680432,0.63189559,1.71671094,0.27870304,0.63081381,0.0,202,[ 0.73436345  0.68729368  0.66884451  0.65586447  0.61843746]
10235783,0.58713658,1.42762944,3.33734026,0.36956217,1.42219185,0.0,225,[ 0.74370692  0.67887741  0.70691379  0.6623935   0.64789594]
10237955,0.32491634,0.24507088,0.48193602,0.93028084,0.19683178,0.0,211,[ 0.85416811  0.78562007  0.71478552  0.70369377  0.68103032]
10241512,0.31034865,0.23669257,0.45056522,0.82005946,0.19139094,0.0,204,[ 0.88471897  0.79305173  0.79674067  0.75540914  0.70814974]
10247574,1.07113243,0.51644971,2.56014435,1.63364353,0.62027857,0.00236620404196,228,[ 0.15307079  0.14849996  0.14813808  0.14452078  0.14361949]
10250985,0.18028866,0.22007471,0.15268533,0.13246002,0.28217575,0.0,213,[ 0.86930009  0.73987337  0.73243639  0.69520114  0.66692773]
10256108,0.47275139,0.89884658,8.89054786,0.32099312,0.24283068,0.0,291,[ 0.68188812  0.61821357  0.59528311  0.58758372  0.57955284]
10256156,0.54124087,1.18358621,6.44235705,0.25971246,0.35083398,0.0,304,[ 0.7117521   0.6297061   0.56244438  0.56969029  0.56890261]
10260828,0.38065525,0.2159909,0.6156545,0.27549424,1.60150436,0.0,280,[ 0.66550001  0.60762189  0.60916263  0.56755488  0.54317536]
10264978,0.11742019,0.10505135,0.15352323,0.13309081,0.09506479,0.0,263,[ 0.78784106  0.66230981  0.58448493  0.57981666  0.57378452]
10275547,0.57970924,3.59994112,1.38453589,0.36659858,1.37933923,0.0,233,[ 0.59302188  0.51597241  0.51253782  0.5049698   0.46669295]
10278022,0.3970288,0.6596437,0.2211665,0.28397516,0.28419237,0.0,262,[ 0.62617811  0.5213315   0.49812996  0.47621082  0.46660734]
10281107,1.11058326,0.90711716,0.52543242,0.47502029,0.32203701,1.83827386646e-09,259,[ 0.22600765  0.21886291  0.20248171  0.17811436  0.17525868]
10290982,0.30669111,0.79501016,0.44290498,0.23455557,3.92063592,0.0,216,[ 0.81033207  0.70378911  0.68483602  0.66236415  0.61168542]
10294963,0.12349911,0.16408361,0.10989047,0.14095505,0.14090032,0.0,178,[ 0.77142627  0.65881513  0.62337963  0.58061077  0.57664352]
10298947,0.45597775,0.84011249,0.31290461,0.23832685,5.25518916,0.0,231,[ 0.7702384   0.68169683  0.65072414  0.63143563  0.61709906]
10304077,0.12688195,0.11256044,0.14537915,0.17010862,0.14531997,0.0,131,[ 0.85567448  0.78202341  0.75904571  0.70884212  0.69954984]
10307294,0.64057237,1.79102127,0.39003798,0.28059459,2.26428273,0.0,222,[ 0.68755963  0.65942306  0.64507511  0.58677378  0.57695566]
10309167,0.32418037,0.48031735,0.24465112,0.19656121,0.24481428,0.0,266,[ 0.95296393  0.87689853  0.8637577   0.82855246  0.81172802]
10312182,0.53074128,0.34639454,1.13452943,8.4314721,0.2572743,0.0,209,[ 0.77365615  0.72999642  0.7093934   0.68605973  0.66849602]
10321095,0.33479003,0.25064621,0.50398062,1.01605302,0.50328849,0.0,443,[ 0.62412854  0.57498538  0.56002722  0.53065175  0.50110491]
1032186,0.32722597,0.19767788,0.94945722,0.24638229,0.48638478,0.0,140,[ 0.77204723  0.70841728  0.69412919  0.6823908   0.64117633]
10322215,0.99265041,1.00187297,0.49817133,0.49748348,0.33221811,0.0,536,[ 0.84522836  0.79570447  0.77757923  0.72302661  0.72731939]
10324405,0.56986408,0.36264006,4.03376929,1.32968164,1.32477147,0.0,457,[ 0.66589776  0.61372973  0.5911189   0.56383819  0.55750607]
1032465,0.46836058,0.24166979,1.65199044,0.31896475,0.88310337,0.0205274774888,195,[ 0.1572361   0.15399803  0.14533835  0.1414355   0.13635409]
10325207,0.61442127,1.60046185,0.38018809,2.66525145,2.64597058,0.0,542,[ 0.76127505  0.7114858   0.71664968  0.62412414  0.61010194]
10330471,0.59521466,0.37274239,3.09899154,1.47645069,0.27153478,0.0,688,[ 0.68128319  0.61836392  0.58669172  0.59120708  0.55441885]
10333591,0.61023706,2.74643875,0.37857688,1.56568001,0.27461433,0.0,163,[ 0.63378615  0.57074392  0.57050644  0.53304107  0.45560441]
10336985,0.15316627,0.13277336,0.11721099,0.22094144,0.18086919,0.0,261,[ 0.66030924  0.52083196  0.50253486  0.49416083  0.47993057]
10337573,0.12548534,0.11146061,0.10028258,0.16760781,0.14354719,0.0,181,[ 0.81031001  0.67899933  0.62406168  0.59122536  0.58158479]
10337889,0.308337,0.19062313,0.2355182,0.16003324,0.80614373,0.0,172,[ 0.86385476  0.75142333  0.70650276  0.64523985  0.60891048]
10341978,0.55922412,1.27307656,4.66009862,1.26886949,0.35831152,0.0,255,[ 0.68527801  0.59458219  0.58545174  0.55818703  0.53684929]
10343059,0.04205551,0.04592348,0.03878849,0.04390707,0.04035378,0.0,243,[ 0.58349221  0.48928007  0.47590164  0.46338673  0.42976546]
1034627,0.62035977,0.27664572,2.55873165,0.38245235,1.63420269,0.0,167,[ 0.62478455  0.58144799  0.54622706  0.51814656  0.48873263]
10348090,0.13337073,0.18197832,0.1539607,0.10525617,0.11763846,0.0,234,[ 0.85815995  0.74405662  0.7181064   0.66310448  0.63005701]
10351118,0.55533889,4.95045767,1.24881618,0.35670198,0.26291841,0.0,213,[ 0.71242759  0.70298891  0.64746284  0.62125541  0.57174264]
10352672,0.13401972,0.18319005,0.1056597,0.11814278,0.15476122,0.0,209,[ 0.80176627  0.71626707  0.67264511  0.63067009  0.57537703]
10355826,0.61925057,2.57789912,0.276425,0.38202907,1.62647362,0.0,407,[ 0.7788747   0.74447897  0.71838668  0.69198545  0.6877316 ]
10357287,0.12744109,0.17111618,0.10152766,0.11300047,0.26033561,0.0,213,[ 0.7315814   0.69753765  0.57765011  0.55323102  0.54491921]
10361086,0.96820705,0.50691081,0.49193449,1.03100575,0.32942573,9.22682558357e-07,213,[ 0.22470619  0.2226573   0.21399238  0.21212863  0.21208464]
10363777,0.14293483,0.11112372,0.16684922,0.12501593,0.12505915,2.17603712827e-13,200,[ 0.34852743  0.34272547  0.32751848  0.31038695  0.3081035 ]
10366574,0.14185224,0.19814457,0.12418758,0.16537641,0.11046853,0.0,122,[ 0.76884775  0.64121684  0.57782981  0.56303332  0.55720784]
10368252,0.52181512,1.0912537,0.3425644,0.92045007,0.47865406,0.0,227,[ 0.70423049  0.67518945  0.67259138  0.60236556  0.58065603]
10370011,0.13815728,0.10821468,0.19100848,0.12134629,0.16037525,0.0,265,[ 0.88325499  0.75482467  0.73987599  0.69616361  0.68667882]
10372468,0.15374411,0.1175492,0.2221462,0.1332076,0.18176707,0.0,218,[ 0.8307366   0.74388488  0.71485946  0.65087259  0.61908726]
10375048,0.13704556,0.15887956,0.12048758,0.10753123,0.12052769,7.54951656745e-15,85,[ 0.6718784   0.54582095  0.50898339  0.49465854  0.49102984]
10375682,0.34200656,1.08562253,0.20297548,0.25466926,0.52052212,0.0,219,[ 0.91971269  0.82465214  0.82306754  0.79159742  0.77549015]
10375719,1.81773652,0.68839526,2.22281021,2.20921883,0.3917096,0.0,232,[ 0.77176757  0.76720202  0.71295373  0.68481043  0.66088121]
10380706,0.31907411,0.24173108,0.46859353,0.88393994,0.33301436,3.99101486733e-05,216,[ 0.19256951  0.18718367  0.18610694  0.1863646   0.14344935]
10384548,0.63892857,0.28027968,1.77821349,2.28473907,0.38984422,0.0,227,[ 0.86739685  0.77831795  0.77792939  0.73844946  0.68978684]
10388951,0.14703868,0.11358852,0.12814446,0.20841373,0.10197356,0.0,229,[ 0.60279167  0.55421301  0.5075159   0.45286104  0.43651333]
10392533,0.36430977,0.21062871,1.34735733,0.57399651,0.26683031,0.0,199,[ 0.67850941  0.59796204  0.55929704  0.47995202  0.4715178 ]
10397082,0.4974211,0.24918121,0.9924336,0.33188176,0.98971467,0.0,255,[ 0.67434922  0.55689747  0.50783833  0.49774327  0.46297059]
10397805,0.57142489,0.36327188,1.33328048,0.26647019,3.95709556,0.0,205,[ 0.73726766  0.68670599  0.65038772  0.64826144  0.64522169]
10399422,0.55184929,5.24504581,0.2621338,0.35526406,1.23557004,0.0,233,[ 0.75825998  0.67732006  0.67240888  0.6216575   0.57067914]
10403458,0.2952675,0.22781571,0.41945775,0.72255042,0.41898014,0.0,251,[ 0.87671796  0.8149837   0.77594288  0.75455646  0.74824171]
10404134,0.38108243,0.17763153,0.21612867,0.27572069,0.61677012,3.52660731839e-07,232,[ 0.21590246  0.2038001   0.19713926  0.19687319  0.18595501]
10405664,0.2671961,0.21073323,0.36498958,0.17405388,0.57477569,0.0,235,[ 0.81702778  0.7459291   0.70881351  0.66559503  0.6502643 ]
10412814,0.60501087,0.37656095,0.27355222,1.53829201,0.21466732,0.0,192,[ 0.74867257  0.69780314  0.65934234  0.64716971  0.60576056]
10414344,0.50941231,1.0413666,0.25215636,0.3374946,0.33717577,0.0,236,[ 0.6852126   0.64665275  0.60692552  0.6012738   0.59152803]
10418431,0.1165537,0.10435713,0.15204455,0.13197886,0.09449608,0.0,75,[ 0.79938845  0.71877719  0.67911939  0.65391202  0.59573866]
10420063,0.48739529,0.9533094,0.32738946,0.95080762,0.24664367,0.0,488,[ 0.70834971  0.63349322  0.62577231  0.55857111  0.51767232]
10420155,0.09350448,0.08548894,0.10317858,0.11504899,0.10314922,0.0,462,[ 0.60137601  0.55829732  0.50659421  0.48395068  0.45553231]
10424071,0.13088072,0.15065205,0.11569684,0.1773749,0.21574774,0.0,217,[ 0.79630761  0.73808733  0.72391994  0.6755746   0.66702549]
10426009,0.14805771,0.128918,0.17387132,0.21046408,0.17378764,0.0,490,[ 0.87027634  0.82316943  0.75666847  0.71036148  0.68066497]
10429339,0.58654005,3.35747963,0.36932006,0.26971137,1.4185688,0.0,232,[ 0.74560106  0.70258357  0.59794384  0.60153581  0.57515166]
10438847,0.64460919,0.28136596,2.21510584,1.82286405,0.68766327,0.0,233,[ 0.64394158  0.56434669  0.56573128  0.52222156  0.46673119]
10442149,0.519645,0.25463825,1.08186765,0.34163275,1.08502664,0.0,209,[ 0.74307964  0.67408196  0.57737573  0.57494623  0.53242617]
10442257,0.7946341,0.30663379,1.34353856,0.44223719,0.23452135,0.0,186,[ 0.70416912  0.64785721  0.60814031  0.57669321  0.53164138]
104455,0.55850571,2.24761567,0.26362645,0.76224871,0.40855633,7.08988423526e-13,119,[ 0.50657725  0.42878575  0.42142643  0.39139398  0.3912378 ]
10445917,0.47914293,0.24451066,0.92227852,0.32393578,1.08875168,0.0,177,[ 0.67497577  0.628945    0.55664081  0.52797946  0.48990893]
10446485,0.55318643,0.26243577,0.42911588,0.3000189,3.05249077,6.66133814775e-16,194,[ 0.39675764  0.37334828  0.34587186  0.33588681  0.33463323]
10450530,0.28167746,0.18008524,0.64626139,0.39255595,0.21977174,0.0,191,[ 0.74777671  0.69920848  0.66759     0.65115108  0.62963417]
1045095,0.14254527,0.19949898,0.11088833,0.12476065,0.16624309,0.0,216,[ 0.78127794  0.67058475  0.6499491   0.543626    0.54050587]
10452608,0.59501116,3.10425509,0.27148808,1.47518667,0.37266572,0.0,188,[ 0.70686403  0.64399689  0.63012301  0.6075861   0.57748966]
10455393,1.59998357,0.25572641,0.16911376,0.52419287,0.38055505,3.04370652016e-08,139,[ 0.35840837  0.35661167  0.31912293  0.31184711  0.30492694]
10455515,0.40039532,0.2222062,2.02119788,0.28569084,0.15377313,0.0,192,[ 0.73602773  0.69217222  0.61834561  0.58845715  0.53226601]
10456555,0.15704151,0.22909614,0.16047088,0.11946741,0.15297111,1.14352971536e-14,45,[ 0.88645971  0.86828682  0.80824669  0.77530883  0.74983525]
1045890,0.21304346,0.37159257,0.14932845,0.17562657,0.27071985,0.0,215,[ 0.64833652  0.57115026  0.51818731  0.47282615  0.4606693 ]
10463586,0.52830008,0.25669744,9.09793174,0.34534804,0.34134111,0.0,198,[ 0.70870384  0.58429103  0.53542123  0.53065854  0.50490731]
10471777,0.15415027,0.13351249,0.18233487,0.22299399,0.11778651,0.0,255,[ 0.76007273  0.66445384  0.63984689  0.60667826  0.59391542]
10476202,0.47137763,0.89393888,0.32008392,8.42682695,0.24247219,0.0,134,[ 0.67658523  0.60739594  0.60107523  0.5749344   0.55329875]
10480983,0.32811151,0.24688393,0.48899628,0.19800118,0.95690096,0.0,515,[ 0.89065979  0.82588287  0.77416413  0.69663954  0.67451458]
10481330,0.15311398,0.13273498,0.18088548,0.22083198,0.18079745,0.0,218,[ 0.50174002  0.44398878  0.42601428  0.39954246  0.36471856]
10481905,0.48471884,0.94312169,0.32617948,0.32647671,0.94065718,0.0,510,[ 0.74503381  0.70588712  0.67350485  0.56349168  0.54428871]
1048500,0.12730553,0.31467876,0.43526504,0.49791121,0.33240182,0.993105821601,31,[ 0.52941564  0.42396518  0.47831069  0.47275962  0.46625922]
10488093,0.56103439,0.35904613,1.28257529,4.53898693,1.27802668,0.0,495,[ 0.7225551   0.68548425  0.66627513  0.64629453  0.62732315]
10494061,0.57599753,1.36359048,0.36548045,0.26745942,3.75031252,0.0,256,[ 0.73292049  0.65245308  0.59929424  0.56301424  0.55937292]
10495321,0.52384819,0.34343466,1.10012841,1.10349239,0.26192547,0.0,278,[ 0.67742008  0.55398009  0.54042871  0.5659286   0.5624046 ]
1049602,0.3020114,0.76431166,0.18818567,0.4332018,0.23195718,0.0,220,[ 0.90764394  0.82547042  0.70998602  0.65144438  0.65102174]
10498524,0.71155106,1.67396066,0.41525626,2.46673714,2.4837206,0.0,266,[ 0.64599548  0.57993145  0.56430027  0.54046569  0.54068083]
10503746,0.57355215,0.36413445,1.34996141,0.26693426,1.34501061,0.0,264,[ 0.62050079  0.56928318  0.52747503  0.50647248  0.48520371]
1050401,0.13323212,0.11753037,0.15377635,0.10516963,0.18172092,0.0,570,[ 0.76743028  0.66322865  0.65859036  0.62196486  0.58143823]
10505581,0.63754021,2.30274771,1.76743936,0.6958972,0.38891321,0.0,282,[ 0.75071379  0.67312769  0.66261385  0.63059144  0.62252874]
10509093,0.17356852,0.14783809,0.21014268,0.12875152,0.21002081,0.0,452,[ 0.71191388  0.706148    0.60939554  0.57840714  0.55013429]
1051321,0.33048126,0.9773676,0.2482231,0.49428303,0.19886125,0.0,558,[ 0.88854621  0.76299817  0.75800956  0.7486576   0.69839623]
10513982,0.18071846,0.15299383,0.22071519,0.28322591,0.13269296,0.0,461,[ 0.85946232  0.78138808  0.76931882  0.64187306  0.63545682]
1051415,0.9978588,0.49916857,0.49945964,0.9966449,0.99942888,0.0,546,[ 0.76452218  0.68835304  0.67006899  0.66077174  0.65356597]
10517655,0.52807841,1.12244702,9.1681329,0.34525586,0.899427,0.0,411,[ 0.64959042  0.61527977  0.61158689  0.58595535  0.58045099]
1051858,0.63208478,0.38687638,1.72613341,0.27895412,2.37702411,0.0,552,[ 0.63011677  0.52664956  0.52534818  0.48617159  0.46184767]
10519762,0.17850334,0.21741991,0.15140375,0.1314952,0.15146696,0.0,118,[ 0.8311599   0.77482116  0.73711455  0.68358549  0.67560624]
1052008,0.11394225,0.06451332,0.06897535,0.07955958,0.10225916,0.888756617825,31,[ 0.56715919  0.55978298  0.55223702  0.54069033  0.52779633]
10521151,0.74178681,2.8956485,0.42537645,1.52756814,2.87255673,0.0,437,[ 0.88525675  0.82787063  0.82275271  0.74755972  0.71045512]
10522254,0.75184774,3.05532467,0.42866899,1.48046883,1.48658265,0.0,464,[ 0.58230273  0.55385373  0.50391775  0.46838883  0.46249492]
10524523,0.13519147,0.11905246,0.15639225,0.18538524,0.10638698,0.0,285,[ 0.79782084  0.74850946  0.69937649  0.63430663  0.61237571]
10527628,0.79700851,0.30698769,3.96929796,0.94134541,0.44297693,0.310319551189,37,[ 0.55316915  0.52951952  0.52833308  0.51711423  0.50574246]
10528075,0.1236745,0.14118321,0.11002929,0.16439257,0.09912283,0.0,245,[ 0.82331475  0.79223475  0.70573141  0.66739151  0.63006004]
10528528,0.99980067,0.49926425,0.99743846,0.49868659,0.33300139,0.0,198,[ 0.70815326  0.60023325  0.58605844  0.54028485  0.53994029]
10533068,0.60757,0.37755305,1.55484924,2.8023367,1.54823332,0.0,246,[ 0.73415405  0.71857354  0.61577079  0.58364651  0.57249583]
10534584,1.53410077,0.60437132,0.99847121,2.86737188,0.60460025,1.05760178393e-10,254,[ 0.25077329  0.23567948  0.23868414  0.23729494  0.23165445]
10543030,0.30971702,0.23632313,0.44923324,0.81564481,0.44867868,0.0,294,[ 0.84683522  0.81356482  0.76315395  0.76517627  0.74405214]
10550819,0.29503062,1.00190358,1.17472737,0.49979203,0.53937915,9.32343920956e-08,219,[ 0.23705236  0.22827168  0.22706581  0.22625179  0.2233789 ]
10554431,0.59493367,0.37263365,1.4687888,1.47465325,3.10634918,0.0,152,[ 0.83351064  0.75968923  0.70749158  0.70212707  0.68589346]
10559406,0.48654809,0.32700526,0.95004711,0.94760956,0.32729384,0.0,241,[ 0.69505989  0.60035906  0.56496589  0.49074549  0.48190574]
10561150,0.11256284,0.10114638,0.12684116,0.12688437,0.09185508,0.0,239,[ 0.85252734  0.77103283  0.64860062  0.64520978  0.61495588]
10569367,0.46673974,0.31793849,0.87736641,0.24123956,0.87524343,0.0,457,[ 0.74660552  0.71878982  0.68664212  0.62330533  0.60384474]
10575954,0.61381172,1.59638888,0.37995025,2.65719792,2.67701652,0.0,335,[ 0.7655719   0.74713196  0.68528438  0.62544681  0.58707333]
10578950,0.33602472,0.25133706,0.50678422,0.50607177,0.2007435,0.0,428,[ 0.91848661  0.87269039  0.80481091  0.74880076  0.73410673]
1058132,0.63284999,1.73184655,2.36647464,0.70160008,0.38716259,0.0,607,[ 0.6805778   0.6392264   0.63137072  0.56656429  0.51504343]
10581384,0.14284832,0.12495051,0.16673068,0.16665402,0.11103841,0.0,105,[ 0.85454598  0.82736528  0.75403837  0.68637306  0.66933659]
10582011,0.43639977,0.77595858,0.30356338,0.77433844,3.46413268,0.0,208,[ 0.8864117   0.79392127  0.77311894  0.70261443  0.69391239]
10593916,0.55981721,0.35854795,1.27626461,1.27177832,4.61993537,0.0,437,[ 0.66889762  0.62929735  0.62327261  0.57401566  0.57019737]
10594697,0.27510215,0.21562125,0.37989932,0.61262893,0.37949817,0.0,316,[ 0.82246937  0.75310167  0.74131146  0.63918997  0.61590842]
1059786,0.46350845,6.46404127,0.86602792,0.31643759,0.24037474,0.0,549,[ 0.74107833  0.64864801  0.64627083  0.64106568  0.59629094]
10598277,0.63205335,1.72589098,0.38686423,0.38727727,2.36221428,0.0,422,[ 0.75107347  0.72305309  0.71511598  0.62853385  0.61788601]
10601348,0.15382949,0.13327207,0.18188556,0.18179445,0.11756143,0.0,430,[ 0.86225789  0.80799839  0.77546943  0.66108043  0.64840513]
10606433,0.15353601,0.13305167,0.18147541,0.22170804,0.18138342,0.0,142,[ 0.85377674  0.81464856  0.80274969  0.71104011  0.69757416]
10606728,0.42554118,0.29826849,0.74227389,0.74076542,2.88005398,0.0,409,[ 0.34836974  0.33109245  0.31871021  0.31874235  0.31787624]
10609185,0.1830422,0.15465585,0.2241918,0.22405218,0.28897622,0.0,424,[ 0.8851128   0.84118576  0.7831073   0.69644055  0.67586744]
10614690,0.3440122,0.52517586,1.10605171,0.20368035,0.25578006,0.0,221,[ 0.85334113  0.80969736  0.72423208  0.71748668  0.70296446]
10617428,0.24840127,0.19886692,0.16587812,0.49433143,0.33079999,0.0,203,[ 0.41162303  0.3821348   0.37223152  0.36587721  0.35881323]
